iter	Passed	Remaining
0	17	1717
1	33	1656
2	52	1685
3	70	1688
4	88	1683
5	107	1688
6	126	1678
7	143	1653
8	162	1638
9	180	1622
10	198	1603
11	216	1585
12	233	1565
13	250	1541
14	269	1528
15	286	1503
16	303	1482
17	320	1459
18	338	1443
19	355	1422
20	372	1399
21	388	1376
22	404	1354
23	420	1332
24	437	1311
25	454	1294
26	471	1273
27	487	1253
28	502	1231
29	518	1210
30	534	1188
31	549	1168
32	566	1149
33	581	1129
34	597	1110
35	614	1092
36	632	1077
37	650	1061
38	667	1044
39	685	1028
40	702	1011
41	719	993
42	735	975
43	752	958
44	772	943
45	788	925
46	805	908
47	822	891
48	839	874
49	857	857
50	875	840
51	891	823
52	909	806
53	926	789
54	945	773
55	962	756
56	980	739
57	998	722
58	1015	705
59	1034	689
60	1053	673
61	1071	656
62	1090	640
63	1107	622
64	1127	606
65	1144	589
66	1162	572
67	1179	554
68	1196	537
69	1214	520
70	1231	502
71	1249	485
72	1266	468
73	1284	451
74	1300	433
75	1318	416
76	1334	398
77	1352	381
78	1369	364
79	1388	347
80	1407	330
81	1423	312
82	1441	295
83	1456	277
84	1472	259
85	1488	242
86	1504	224
87	1519	207
88	1535	189
89	1552	172
90	1568	155
91	1586	137
92	1603	120
93	1621	103
94	1638	86
95	1655	68
96	1672	51
97	1690	34
98	1706	17
99	1723	0
